net,metric,t,df,meanCtrl,meanUsr,d,p,p_fdr,P_bonf
CON,EG,6.447913636359292,46.1170587477974,0.30875050875050875,0.25087505087505085,1.754899812734874,6.088816550713443e-8,1.1162830342974644e-7,3.3488491028923933e-6
CON,EL,8.136826157446517,51.78634527007911,0.4035126396237507,0.27301587301587305,2.2145635790527893,7.971132838222439e-11,1.7536492244089366e-10,4.384123061022341e-9
CON,D,12.74061390548188,44.098523271654514,0.2032962962962963,0.13974074074074075,3.4675558975820664,2.221343405518137e-16,1.2217388730349753e-15,1.2217388730349753e-14
CON,S,4.855860879419034,48.78298054864657,0.9324058201058201,0.6849380952380952,1.321597935168781,1.2762503931320027e-5,2.0055363320645755e-5,7.019377162226014e-4
CON,CP,1.246903422853247,46.94078147111519,0.4864143640995493,0.46319077013521454,0.33936412716891823,0.21861890600371206,0.24538856796335026,1
CON,LP,-7.249483334140288,33.53748286062203,1.7727116937643252,2.166729199631082,-1.9730594519393587,2.34375845714335e-8,4.4450591428580775e-8,1.2890671514288424e-6
CON,Sigma,-0.7847770026968369,28.28869363759369,2.2602494583588397,2.463277385917588,-0.21358924649755873,0.43910735355376085,0.45567744236711033,1
DAN,EG,-1.6404019761272173,51.830939132927206,0.285297418630752,0.3058361391694725,-0.44646086828498605,0.10697731900094981,0.1251862243628136,1
DAN,EL,-1.053995163944391,51.341686695527166,0.27714178825289937,0.3064721286943509,-0.2868611492249844,0.2968201889561547,0.3186208927055532,1
DAN,D,-6.203908575853251,51.73148764159328,0.161,0.1952962962962963,-1.6884900468574588,9.329555597235469e-8,1.6552437349933897e-7,5.131255578479508e-6
DAN,S,-2.8180507070702485,46.58668991941751,0.6586343434343435,0.8309420875420875,-0.7669762557346063,0.00706817238943229,0.00904068561439014,0.38874948141877597
DAN,CP,0.20145596784008366,50.98100160015826,0.5866460905349794,0.5766255144032921,0.05482936964963808,0.8411437220227886,0.8411437220227886,1
DAN,LP,-1.0456921747984693,45.37831983811404,1.7312389770723104,1.784377407644818,-0.28460136180860945,0.3012415712852503,0.3186208927055532,1
DAN,Sigma,-4.002985577859343,49.8020546737661,1.1281247190372379,2.2574327747723113,-1.0894746792750503,2.080283862503995e-4,2.79062469360292e-4,0.011441561243771972
DMN,EG,-11.804024179657446,49.66277467303242,0.2968302247743667,0.3415616521081333,-3.212648461292837,5.037481818062223e-16,2.3088458332785185e-15,2.7706149999342224e-14
DMN,EL,-5.664102399614984,51.56002550891276,0.46737196961951966,0.515869072343874,-1.5415734144367212,6.650779532923473e-7,1.1084632554872456e-6,3.6579287431079104e-5
DMN,D,-6.832956224621827,51.79695181184502,0.09025925925925926,0.10081481481481482,-1.859695131677515,9.304587457927798e-9,1.9682781161001112e-8,5.117523101860289e-7
DMN,S,-2.093790646566969,51.801248277829586,2.018863601532567,2.250229246487867,-0.5698576347001276,0.041190789553625255,0.05034429834331976,1
DMN,CP,1.11554000715294,51.99960846495799,0.5300974146218352,0.5200111698035518,0.3036115339094889,0.2697479626792015,0.29672275894712163,1
DMN,LP,9.64411646463084,51.71929812902714,2.8929584382615086,2.6457925450870166,2.6247960398132895,3.7839237364886375e-13,1.0953463447730266e-12,2.0811580550687507e-11
DMN,Sigma,-10.135912222406818,50.10997087057569,1.6369861245259387,2.091694300965139,-2.7586458913929053,9.935062833270441e-14,3.0357136434993013e-13,5.4642845582987424e-12
FPN,EG,7.025847442507582,42.92878108338435,0.35636008230452676,0.3041197824808936,1.9121934716424165,1.1908069894379014e-8,2.425717941447577e-8,6.549438441908457e-7
FPN,EL,4.822021266089293,49.68028866315504,0.3089408191260043,0.2418991769547325,1.3123879589742307,1.3858667824491611e-5,2.1172964731862183e-5,7.622267303470387e-4
FPN,D,12.21317464703084,46.735794455614304,0.13874074074074075,0.10796296296296297,3.324005113857956,3.780389419473573e-16,1.8901947097367863e-15,2.079214180710465e-14
FPN,S,4.144904381594762,45.18988563230413,1.2472130370370371,1.0103434074074074,1.1281000852814913,1.474196248062609e-4,2.0270198410860874e-4,0.00810807936434435
FPN,CP,1.6144483747469858,51.80891283882452,0.36308871010681365,0.3387760702571627,0.43939719268841276,0.11250493524298545,0.1289119049659208,1
FPN,LP,-12.14600122451187,34.7504537761542,2.2818402235850894,2.977204440574998,-3.3057228239193055,4.6278850349968666e-14,1.8180976923201974e-13,2.5453367692482766e-12
FPN,Sigma,-5.574970520945272,32.05225057355779,1.3327823385809148,1.8372598974467564,-1.5173147897082262,3.7082833819957185e-6,5.998693706169544e-6,2.0395558600976453e-4
SAL,EG,33.3989515233117,51.89964840059184,0.4366255144032922,0.232478011780844,9.090043241784958,9.252745093708403e-37,5.089009801539622e-35,5.089009801539622e-35
SAL,EL,19.612735861102045,41.13862281755557,0.5845074792605657,0.272185642432556,5.33791059107614,1.7229259292075407e-22,1.5793487684402455e-21,9.476092610641474e-21
SAL,D,30.459922710597837,34.791114270562076,0.24633333333333335,0.11507407407407408,8.290140916175309,1.1262920480695374e-26,2.0648687547941517e-25,6.194606264382456e-25
SAL,S,10.687367645366589,34.5114019064151,1.5732362139917695,0.7013094650205761,2.9087330471864736,1.7215411644715004e-12,4.508798287901548e-12,9.468476404593253e-11
SAL,CP,12.974750330953015,51.33954151748734,0.6348017703440983,0.4169586517734666,3.5312797612046727,7.824322373901715e-18,4.781530339606603e-17,4.3033773056459433e-16
SAL,LP,-9.52353638856973,44.80823565469674,1.8559489892823227,2.1969409191631413,-2.591978299869323,2.4496972158149287e-12,6.124243039537322e-12,1.347333468698211e-10
