scales,stat,df,ges,p
VAS,5.3913469681474835,"1,22",0.06773427994595396,0.029887667131026554
CCQ-N,0.5820195164966118,"1,22",0.006080750211041293,0.4536250961086894
CCQ-G,0.12066563985945261,"1,22",0.0014515593288648558,0.7316148754615754
B11C,4.796681415929214,"1,22",0.03813746323302363,0.03940483641403737
B11M,6.6906965222882855,"1,22",0.061505177972665345,0.016836113540116993
B11Np,2.1178648565257565,"1,22",0.024492014130008087,0.15971116845379535
B11T,6.752614631876187,"1,22",0.05972990351111801,0.016397051939902433
